No.;var00001;Substituent;Backbone length;Backbone;Substitution energy;homo;lumo;pa;homo2;lumo2;pa2;he.w.pn;nhe;be.gla;ml.gla;dmd.gla;d.d1rgla;d.d2rgla;drd1rgla;drd2rgla;nbo.glaf;be.pd;ml.pd;dmd.pd;d.d1r.pd;d.d2r.pd;d.rd1rpd;d.rd2rpd;nbo.pd.f;dppd.d1;dppd.d2;dpzn.d1;dpzn.d2;kmeansPCA;hiePCA;kmeansUMAP;hieUMAP;kmeansTSNE;hieTSNE;kmeansUMAP(n10);hieUMAP(n10);kmeansUMAP(n15);hieUMAP(n15);;;;;;;;;;;;;;;;;;
26;4;OPh;5;C;-16.91;-0.19974;-0.0381;226.114;-0.19974;-0.0381;226.114;14.3335;13.9915;29.9402;2.272;84.4;-0.025;-0.036;2.7;2.1;-0.1261;84.4109;2.366;91.6;-0.036;-0.046;2.2;1.7;-0.7519;0.025;0.012;-0.039;-0.05;0;0;5;5;2;3;4;2;0;0;;;;;;;;;;;;;;;;;;
27;2;CF3;5;C;-13.06;-0.2508;-0.0332;197.71;-0.2508;-0.0332;197.71;15.6393;12.7722;19.0278;2.244;85.9;-0.004;-0.004;3;2.8;-0.0588;76.0305;2.351;97.1;0.002;0.003;3.1;2.9;-0.6226;0.001;0.001;-0.012;-0.016;4;3;3;2;0;5;1;3;3;3;;;;;;;;;;;;;;;;;;
28;5;NMe2;5;C;-19.40;-0.1642;0.0236;240.51;-0.1642;0.0236;240.51;23.4662;19.4144;39.9377;2.285;92.5;-0.027;-0.023;3.3;3.1;-0.1317;91.2256;2.397;96.4;-0.026;-0.023;1;1;-0.8027;0.042;0.042;-0.106;-0.103;3;2;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
29;3;Ph;5;C;-15.99;-0.189;-0.0477;239.2;-0.189;-0.0477;239.2;22.7383;18.6012;38.2829;2.294;90.9;-0.016;-0.017;3.4;3.9;-0.1146;94.1718;2.38;95.2;-0.017;-0.017;2.3;2.8;-0.7727;0.032;0.032;-0.098;-0.101;1;2;4;0;1;1;0;1;2;4;;;;;;;;;;;;;;;;;;
30;2;C6F5;5;C;-7.73;-0.21657;-0.07767;222.356;-0.21657;-0.07767;222.356;22.1918;17.4528;27.7684;2.657;89.2;-0.015;-0.017;1.6;2.6;-0.0705;80.2248;2.371;99;-0.015;-0.012;1.2;1.6;-0.6747;0.024;0.024;-0.008;-0.049;5;0;1;3;5;2;2;5;5;1;;;;;;;;;;;;;;;;;;
31;3;o-Tol;5;C;-1.26;-0.18524;-0.0467;240.856;-0.18524;-0.0467;240.856;39.1929;36.9539;29.5392;2.299;94.4;-0.011;-0.011;5.9;5.7;-0.1109;78.4125;2.383;96.3;-0.004;-0.007;3.4;2.6;-0.7282;0.078;0.044;-0.07;-0.083;1;5;4;0;3;4;0;1;2;4;;;;;;;;;;;;;;;;;;
32;3;p-Tol;5;C;-16.27;-0.18192;-0.04288;243.279;-0.18192;-0.04288;243.279;21.2379;17.2093;39.4288;2.296;91.7;-0.014;-0.015;3.1;3.7;-0.1213;95.5247;2.381;94.9;-0.016;-0.017;2;2.5;-0.7788;0.034;0.035;-0.092;-0.095;1;2;4;0;1;1;0;1;2;4;;;;;;;;;;;;;;;;;;
33;3;p-CF3-Ph;5;C;-12.83;-0.20834;-0.0767;228.712;-0.20834;-0.0767;228.712;21.2455;18.219;33.7259;2.285;89.9;-0.014;-0.015;3.4;3.7;-0.102;90.2844;2.375;96.6;-0.014;-0.015;2.5;2.6;-0.7411;0.035;0.031;-0.071;-0.09;0;0;0;1;5;2;5;0;5;1;;;;;;;;;;;;;;;;;;
34;1;Me;6;D;-15.76;-0.1905;0.0327;233;-0.1905;0.0327;233;30.82;20.5653;36.1425;2.288;102.3;-0.021;-0.021;4.6;4.6;-0.1567;98.2136;2.388;101.7;-0.024;-0.023;4.2;4;-0.8143;0.029;0.027;-0.079;-0.082;3;2;2;4;1;1;4;4;4;0;;;;;;;;;;;;;;;;;;
35;1;tBu;6;D;1.24;-0.1788;0.0225;245.67;-0.1788;0.0225;245.67;67.1321;48.8917;39.3465;2.314;108.1;-0.005;-0.015;1.9;3;-0.1271;83.0172;2.393;106;0.013;0.004;0.5;0.5;-0.7268;0.12;0.108;0.01;-0.049;1;5;2;0;4;0;3;0;1;2;;;;;;;;;;;;;;;;;;
36;4;OMe;6;D;-19.88;-0.2013;0.0043;227.36;-0.2013;0.0043;227.36;23.1481;20.025;33.0639;2.279;92.2;-0.031;-0.019;1.9;5.5;-0.1827;95.6521;2.383;93.3;-0.04;-0.024;1.2;4.7;-0.8521;0.02;0.006;-0.081;-0.062;3;2;2;4;2;3;4;4;4;0;;;;;;;;;;;;;;;;;;
